liquid,pipette,volume,aspiration_rate,dispense_rate,density,m,%error
Viscosity_std_1275,p1000,1000,36.68593297,36.68593297,0.8736,0.6551,-25.01144689
Viscosity_std_1275,p1000,500,36.68593297,36.68593297,0.8736,0.2715,-37.84340659
Viscosity_std_1275,p1000,300,36.68593297,36.68593297,0.8736,0.1522,-41.92612943
Viscosity_std_1275,p1000,1000,45.85741625,45.85741625,0.8736,0.5795,-33.66529304
Viscosity_std_1275,p1000,500,45.85741625,45.85741625,0.8736,0.1598,-63.41575092
Viscosity_std_1275,p1000,300,45.85741625,45.85741625,0.8736,0.1244,-52.53357753
Viscosity_std_1275,p1000,1000,45.85741625,3.6685933,0.8736,0.7049,-19.31089744
Viscosity_std_1275,p1000,500,45.85741625,3.6685933,0.8736,0.3275,-25.02289377
Viscosity_std_1275,p1000,300,45.85741625,3.6685933,0.8736,0.1953,-25.48076923
Viscosity_std_1275,p1000,1000,3.6685933,45.85741625,0.8736,0.7314,-16.27747253
Viscosity_std_1275,p1000,500,3.6685933,45.85741625,0.8736,0.3411,-21.90934066
Viscosity_std_1275,p1000,300,3.6685933,45.85741625,0.8736,0.1888,-27.96092796
Viscosity_std_1275,p1000,1000,3.6685933,3.6685933,0.8736,0.9006,3.090659341
Viscosity_std_1275,p1000,500,3.6685933,3.6685933,0.8736,0.4698,7.554945055
Viscosity_std_1275,p1000,300,3.6685933,3.6685933,0.8736,0.2954,12.71367521
Viscosity_std_1275,p1000,1000,15,5,0.8736,0.8476,-2.976190476
Viscosity_std_1275,p1000,500,15,5,0.8736,0.4131,-5.425824176
Viscosity_std_1275,p1000,300,15,5,0.8736,0.2469,-5.792124542
Viscosity_std_1275,p1000,1000,10,7,0.8736,0.8461,-3.147893773
Viscosity_std_1275,p1000,500,10,7,0.8736,0.3983,-8.814102564
Viscosity_std_1275,p1000,300,10,7,0.8736,0.2351,-10.29456654
Viscosity_std_1275,p1000,1000,10,4,0.8736,0.8518,-2.495421245
Viscosity_std_1275,p1000,500,10,4,0.8736,0.4151,-4.967948718
Viscosity_std_1275,p1000,300,10,4,0.8736,0.2391,-8.768315018
Viscosity_std_1275,p1000,1000,6,4,0.8736,0.8664,-0.824175824
Viscosity_std_1275,p1000,500,6,4,0.8736,0.4329,-0.892857143
Viscosity_std_1275,p1000,300,6,4,0.8736,0.2599,-0.831807082
Viscosity_std_1275,p1000,1000,5,3.6,0.8736,0.8942,2.358058608
Viscosity_std_1275,p1000,500,5,3.6,0.8736,0.458,4.853479853
Viscosity_std_1275,p1000,300,5,3.6,0.8736,0.2872,9.584859585
