liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000,acq_value
Viscosity_std_1275,p1000,1000,36.68593297,36.68593297,0,5,5,0,-25.01144689,64.51680898058403,
Viscosity_std_1275,p1000,500,36.68593297,36.68593297,0,5,5,0,-37.84340659,64.51680898058403,
Viscosity_std_1275,p1000,300,36.68593297,36.68593297,0,5,5,0,-41.92612943,64.51680898058403,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",36.68593297,36.68593297,0,5,5,0,-34.92699430333334,64.51680898058403,
Viscosity_std_1275,p1000,1000,45.85741625,45.85741625,0,5,5,0,-33.66529304,53.61344714880224,
Viscosity_std_1275,p1000,500,45.85741625,45.85741625,0,5,5,0,-63.41575092,53.61344714880224,
Viscosity_std_1275,p1000,300,45.85741625,45.85741625,0,5,5,0,-52.53357753,53.61344714880224,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",45.85741625,45.85741625,0,5,5,0,-49.87154049666666,53.61344714880224,
Viscosity_std_1275,p1000,1000,45.85741625,3.6685933,0,5,5,0,-19.31089744,304.39076825441515,
Viscosity_std_1275,p1000,500,45.85741625,3.6685933,0,5,5,0,-25.02289377,304.39076825441515,
Viscosity_std_1275,p1000,300,45.85741625,3.6685933,0,5,5,0,-25.48076923,304.39076825441515,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",45.85741625,3.6685933,0,5,5,0,-23.27152014666667,304.39076825441515,
Viscosity_std_1275,p1000,1000,3.6685933,45.85741625,0,5,5,0,-16.27747253,304.39076825441515,
Viscosity_std_1275,p1000,500,3.6685933,45.85741625,0,5,5,0,-21.90934066,304.39076825441515,
Viscosity_std_1275,p1000,300,3.6685933,45.85741625,0,5,5,0,-27.96092796,304.39076825441515,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",3.6685933,45.85741625,0,5,5,0,-22.04924705,304.39076825441515,
Viscosity_std_1275,p1000,1000,3.6685933,3.6685933,0,5,5,0,3.090659341,555.168089360028,
Viscosity_std_1275,p1000,500,3.6685933,3.6685933,0,5,5,0,7.554945055,555.168089360028,
Viscosity_std_1275,p1000,300,3.6685933,3.6685933,0,5,5,0,12.71367521,555.168089360028,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",3.6685933,3.6685933,0,5,5,0,-7.786426535333334,555.168089360028,
Viscosity_std_1275,p1000,1000,15.436280457383235,18.633719369871482,0,5,5,0,-9.546703,128.4485968047839,444.8032118258914
Viscosity_std_1275,p1000,500,15.436280457383235,18.633719369871482,0,5,5,0,-13.507326,128.4485968047839,444.8032118258914
Viscosity_std_1275,p1000,300,15.436280457383235,18.633719369871482,0,5,5,0,-18.192918,128.4485968047839,444.8032118258914
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",15.436280457383235,18.633719369871482,0,5,5,0,-13.748982333333332,128.4485968047839,444.8032118258914
Viscosity_std_1275,p1000,1000,6.195400332010244,18.45557140132731,0,5,5,0,-4.85348,225.59424964297878,558.5350843667326
Viscosity_std_1275,p1000,500,6.195400332010244,18.45557140132731,0,5,5,0,-6.936813,225.59424964297878,558.5350843667326
Viscosity_std_1275,p1000,300,6.195400332010244,18.45557140132731,0,5,5,0,-7.89072,225.59424964297878,558.5350843667326
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",6.195400332010244,18.45557140132731,0,5,5,0,-6.560337666666666,225.59424964297878,558.5350843667326
Viscosity_std_1275,p1000,1000,5.903469803494403,25.59853997954923,0,5,5,0,-8.49359,218.45663359805383,281.66914935030854
Viscosity_std_1275,p1000,500,5.903469803494403,25.59853997954923,0,5,5,0,-10.370879,218.45663359805383,281.66914935030854
Viscosity_std_1275,p1000,300,5.903469803494403,25.59853997954923,0,5,5,0,-13.041819,218.45663359805383,281.66914935030854
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",5.903469803494403,25.59853997954923,0,5,5,0,-10.635429333333333,218.45663359805383,281.66914935030854
Viscosity_std_1275,p1000,1000,4.489998390222863,10.881212409727247,0,5,5,0,1.053114,324.6187527557244,289.31556461024707
Viscosity_std_1275,p1000,500,4.489998390222863,10.881212409727247,0,5,5,0,2.06044,324.6187527557244,289.31556461024707
Viscosity_std_1275,p1000,300,4.489998390222863,10.881212409727247,0,5,5,0,2.48779,324.6187527557244,289.31556461024707
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",4.489998390222863,10.881212409727247,0,5,5,0,-1.8671146666666665,324.6187527557244,289.31556461024707
Viscosity_std_1275,p1000,1000,26.60408466596963,4.049484237987043,0,5,5,0,-6.009615,294.53324132056775,48.408942659347176
Viscosity_std_1275,p1000,500,26.60408466596963,4.049484237987043,0,5,5,0,-10.141941,294.53324132056775,48.408942659347176
Viscosity_std_1275,p1000,300,26.60408466596963,4.049484237987043,0,5,5,0,-6.822344,294.53324132056775,48.408942659347176
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",26.60408466596963,4.049484237987043,0,5,5,0,-7.657966666666667,294.53324132056775,48.408942659347176
