liquid,pipette,volume,aspiration_rate,dispense_rate,density,m,%error,time_asp_1000,acq_value
Viscosity_std_817,rLine1000,1000,54.16311863,54.16311863,0.8466,0.662127325,-21.78982701,56.92549562,None
Viscosity_std_817,rLine1000,500,54.16311863,54.16311863,0.8466,0.377640322,-10.78660006,56.92549562,None
Viscosity_std_817,rLine1000,300,54.16311863,54.16311863,0.8466,0.222151651,-12.53183268,56.92549562,None
Viscosity_std_817,rLine1000,"mean[300, 500, 1000]",54.16311863,54.16311863,0.8466,0.662127325,-15.03608658,56.92549562,None
Viscosity_std_817,rLine1000,300,67.70389875,67.70389875,0.8466,0.208950196,-17.72966552,49.5403963,None
Viscosity_std_817,rLine1000,500,67.70389875,67.70389875,0.8466,0.357940136,-15.44055371,49.5403963,None
Viscosity_std_817,rLine1000,1000,67.70389875,67.70389875,0.8466,0.625306045,-26.13913946,49.5403963,None
Viscosity_std_817,rLine1000,"mean[300, 500, 1000]",67.70389875,67.70389875,0.8466,0.208950196,-19.76978623,49.5403963,None
Viscosity_std_817,rLine1000,300,67.70389875,5.4163119,0.8466,0.224381036,-11.65405296,219.397675,None
Viscosity_std_817,rLine1000,500,67.70389875,5.4163119,0.8466,0.385159032,-9.010386979,219.397675,None
Viscosity_std_817,rLine1000,1000,67.70389875,5.4163119,0.8466,0.783985796,-7.39596075,219.397675,None
Viscosity_std_817,rLine1000,"mean[300, 500, 1000]",67.70389875,5.4163119,0.8466,0.224381036,-9.353466895,219.397675,None
Viscosity_std_817,rLine1000,300,5.4163119,67.70389875,0.8466,0.226654135,-10.75906187,219.397675,None
Viscosity_std_817,rLine1000,500,5.4163119,67.70389875,0.8466,0.330400675,-21.94645045,219.397675,None
Viscosity_std_817,rLine1000,1000,5.4163119,67.70389875,0.8466,0.616942209,-27.12707193,219.397675,None
Viscosity_std_817,rLine1000,"mean[300, 500, 1000]",5.4163119,67.70389875,0.8466,0.226654135,-19.94419475,219.397675,None
Viscosity_std_817,rLine1000,1000,5.4163119,5.4163119,0.8466,0.82787408,-2.211896996,389.2549537,None
Viscosity_std_817,rLine1000,500,5.4163119,5.4163119,0.8466,0.41406818,-2.180916536,389.2549537,None
Viscosity_std_817,rLine1000,300,5.4163119,5.4163119,0.8466,0.241443845,-4.935882687,389.2549537,None
Viscosity_std_817,rLine1000,"mean[300, 500, 1000]",5.4163119,5.4163119,0.8466,0.82787408,-3.109565406,389.2549537,None
Viscosity_std_817,rLine1000,1000,34.7483093,15.83747452,0.8466,0.797726384,-5.772928838,111.9197588,116.1996997
Viscosity_std_817,rLine1000,500,34.7483093,15.83747452,0.8466,0.390594068,-7.726418997,111.9197588,116.1996997
Viscosity_std_817,rLine1000,300,34.7483093,15.83747452,0.8466,0.230398918,-9.284621427,111.9197588,116.1996997
Viscosity_std_817,rLine1000,"mean[300, 500, 1000]",34.7483093,15.83747452,0.8466,0.797726384,-7.594656421,111.9197588,116.1996997
Viscosity_std_817,rLine1000,1000,24.8051536,8.622940037,0.8466,0.812924087,-3.977783255,176.2839299,99.02270739
Viscosity_std_817,rLine1000,500,24.8051536,8.622940037,0.8466,0.402877542,-4.824582514,176.2839299,99.02270739
Viscosity_std_817,rLine1000,300,24.8051536,8.622940037,0.8466,0.237014218,-6.679967881,176.2839299,99.02270739
Viscosity_std_817,rLine1000,"mean[300, 500, 1000]",24.8051536,8.622940037,0.8466,0.812924087,-5.160777883,176.2839299,99.02270739
Viscosity_std_817,rLine1000,1000,14.76128006,16.91745129,0.8466,0.749423044,-11.47849701,146.8553612,35.65069042
Viscosity_std_817,rLine1000,500,14.76128006,16.91745129,0.8466,0.409915404,-3.161964457,146.8553612,35.65069042
Viscosity_std_817,rLine1000,300,14.76128006,16.91745129,0.8466,0.237786488,-6.375900397,146.8553612,35.65069042
Viscosity_std_817,rLine1000,"mean[300, 500, 1000]",14.76128006,16.91745129,0.8466,0.749423044,-7.005453956,146.8553612,35.65069042
Viscosity_std_817,rLine1000,1000,16.43838483,7.963184492,0.8466,0.841745808,-0.573374854,206.411129,21.75652259
Viscosity_std_817,rLine1000,500,16.43838483,7.963184492,0.8466,0.414636455,-2.046667873,206.411129,21.75652259
Viscosity_std_817,rLine1000,300,16.43838483,7.963184492,0.8466,0.245917186,-3.174586126,206.411129,21.75652259
Viscosity_std_817,rLine1000,"mean[300, 500, 1000]",16.43838483,7.963184492,0.8466,0.841745808,-1.931542951,206.411129,21.75652259
Viscosity_std_817,rLine1000,1000,34.33543253,5.787326585,0.8466,0.829768329,-1.988149225,221.9157874,11.38972703
Viscosity_std_817,rLine1000,500,34.33543253,5.787326585,0.8466,0.402935827,-4.81081342,221.9157874,11.38972703
Viscosity_std_817,rLine1000,300,34.33543253,5.787326585,0.8466,0.234333127,-7.735598393,221.9157874,11.38972703
Viscosity_std_817,rLine1000,"mean[300, 500, 1000]",34.33543253,5.787326585,0.8466,0.829768329,-4.844853679,221.9157874,11.38972703
