liquid,pipette,volume,aspiration_rate,dispense_rate,%error,time_asp_1000,acq_value,
Viscosity_std_1275,p1000,1000,36.68593297,36.68593297,-25.01144689,64.51680899,,
Viscosity_std_1275,p1000,500,36.68593297,36.68593297,-37.84340659,64.51680899,,
Viscosity_std_1275,p1000,300,36.68593297,36.68593297,-41.92612943,64.51680899,,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",36.68593297,36.68593297,-34.9269943,64.51680899,,
Viscosity_std_1275,p1000,500,45.85741625,45.85741625,-63.41575092,53.61344715,,
Viscosity_std_1275,p1000,300,45.85741625,45.85741625,-52.53357753,53.61344715,,
Viscosity_std_1275,p1000,1000,45.85741625,3.6685933,-19.31089744,304.3907683,,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",45.85741625,45.85741625,-45.08674196,53.61344715,,
Viscosity_std_1275,p1000,1000,45.85741625,3.6685933,-19.31089744,304.3907683,,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",45.85741625,45.85741625,-45.08674196,53.61344715,,
Viscosity_std_1275,p1000,1000,45.85741625,3.6685933,-19.31089744,304.3907683,,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",45.85741625,3.6685933,-27.90284561,304.3907683,,
Viscosity_std_1275,p1000,1000,3.6685933,45.85741625,-16.27747253,304.3907683,,
Viscosity_std_1275,p1000,500,3.6685933,45.85741625,-21.90934066,304.3907683,,
Viscosity_std_1275,p1000,300,3.6685933,45.85741625,-27.96092796,304.3907683,,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",3.6685933,45.85741625,-22.04924705,304.3907683,,
Viscosity_std_1275,p1000,1000,3.6685933,3.6685933,3.090659341,555.1680894,,
Viscosity_std_1275,p1000,500,3.6685933,3.6685933,7.554945055,555.1680894,,
Viscosity_std_1275,p1000,300,3.6685933,3.6685933,12.71367521,555.1680894,,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",3.6685933,3.6685933,-7.786426536,555.1680894,,
Viscosity_std_1275,p1000,1000,10.46024211,21.98890387,-10.634158,151.0775645,380.931913,
Viscosity_std_1275,p1000,500,10.46024211,21.98890387,-14.033883,151.0775645,380.931913,
Viscosity_std_1275,p1000,300,10.46024211,21.98890387,-22.886142,151.0775645,380.931913,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",10.46024211,21.98890387,-15.85139433,151.0775645,380.931913,
Viscosity_std_1275,p1000,1000,18.76905279,9.529553563,-8.012821,168.2159039,321.742067,
Viscosity_std_1275,p1000,500,18.76905279,9.529553563,-12.797619,168.2159039,321.742067,
Viscosity_std_1275,p1000,300,18.76905279,9.529553563,-21.398046,168.2159039,321.742067,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",18.76905279,9.529553563,-14.06949533,168.2159039,321.742067,
Viscosity_std_1275,p1000,1000,6.663856408,11.10559646,-2.369505,250.1079484,204.194591,
Viscosity_std_1275,p1000,500,6.663856408,11.10559646,-3.82326,250.1079484,204.194591,
Viscosity_std_1275,p1000,300,6.663856408,11.10559646,-6.211844,250.1079484,204.194591,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",6.663856408,11.10559646,-4.134869667,250.1079484,204.194591,
Viscosity_std_1275,p1000,1000,4.07732365,18.08208952,-5.860806,310.5622643,223.930001,
Viscosity_std_1275,p1000,500,4.07732365,18.08208952,-6.364469,310.5622643,223.930001,
Viscosity_std_1275,p1000,300,4.07732365,18.08208952,-11.935287,310.5622643,223.930001,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",4.07732365,18.08208952,-8.053520667,310.5622643,223.930001,
Viscosity_std_1275,p1000,1000,7.436111059,8.808830136,-2.564103,258.0013476,171.81579,
Viscosity_std_1275,p1000,500,7.436111059,8.808830136,-2.403846,258.0013476,171.81579,
Viscosity_std_1275,p1000,300,7.436111059,8.808830136,-7.356532,258.0013476,171.81579,
Viscosity_std_1275,p1000,"mean[300, 500, 1000]",7.436111059,8.808830136,-4.108160333,258.0013476,171.81579,
