liquid,pipette,volume,aspiration_rate,dispense_rate,density,m,%error,time_for_1000
Viscosity_std_1275,rLine1000,1000,28.91513406,28.91513406,0.8736,0.788633991,-9.725962567,89.16793108
Viscosity_std_1275,rLine1000,500,28.91513406,28.91513406,0.8736,0.365575415,-16.30599467,89.16793108
Viscosity_std_1275,rLine1000,300,28.91513406,28.91513406,0.8736,0.202553464,-22.71311677,89.16793108
Viscosity_std_1275,rLine1000,1000,36.14391758,36.14391758,0.8736,0.612891431,-29.84301383,75.33434486
Viscosity_std_1275,rLine1000,500,36.14391758,36.14391758,0.8736,0.369757333,-15.34859583,75.33434486
Viscosity_std_1275,rLine1000,300,36.14391758,36.14391758,0.8736,0.200309508,-23.56932711,75.33434486
Viscosity_std_1275,rLine1000,1000,36.1439175,2.8915134,0.8736,0.761356811,-12.84835043,393.5068286
Viscosity_std_1275,rLine1000,500,36.1439175,2.8915134,0.8736,0.360402659,-17.49023366,393.5068286
Viscosity_std_1275,rLine1000,300,36.1439175,2.8915134,0.8736,0.205977682,-21.40656202,393.5068286
Viscosity_std_1275,rLine1000,1000,2.8915134,36.1439175,0.8736,0.746785667,-14.51629266,393.5068286
Viscosity_std_1275,rLine1000,500,2.8915134,36.1439175,0.8736,0.383847629,-12.12279555,393.5068286
Viscosity_std_1275,rLine1000,300,2.8915134,36.1439175,0.8736,0.23220574,-11.39890863,393.5068286
Viscosity_std_1275,rLine1000,1000,2.8915134,2.8915134,0.8736,0.838860722,-3.976565693,711.6793123
Viscosity_std_1275,rLine1000,500,2.8915134,2.8915134,0.8736,0.42897446,-1.791561369,711.6793123
Viscosity_std_1275,rLine1000,300,2.8915134,2.8915134,0.8736,0.253567036,-3.248230918,711.6793123
Viscosity_std_1275,rLine1000,1000,3,3,0.8736,0.844878604,-3.287705551,686.6666667
Viscosity_std_1275,rLine1000,500,3,3,0.8736,0.428275045,-1.951683823,686.6666667
Viscosity_std_1275,rLine1000,300,3,3,0.8736,0.248787701,-5.071847758,686.6666667
Viscosity_std_1275,rLine1000,1000,5,3,0.8736,0.826125543,-5.434347204,553.3333333
Viscosity_std_1275,rLine1000,500,5,3,0.8736,0.4167347,-4.593704319,553.3333333
Viscosity_std_1275,rLine1000,300,5,3,0.8736,0.238660757,-8.93591393,553.3333333
Viscosity_std_1275,rLine1000,1000,4,3,0.8736,0.853606719,-2.288608154,603.3333333
Viscosity_std_1275,rLine1000,500,4,3,0.8736,0.420333772,-3.769740856,603.3333333
Viscosity_std_1275,rLine1000,300,4,3,0.8736,0.250405098,-4.454709133,603.3333333
Viscosity_std_1275,rLine1000,1000,4,2.5,0.8736,0.852047607,-2.467077973,670
Viscosity_std_1275,rLine1000,500,4,2.5,0.8736,0.420217203,-3.796427932,670
Viscosity_std_1275,rLine1000,300,4,2.5,0.8736,0.255679852,-2.442058839,670
Viscosity_std_1275,rLine1000,1000,3.5,3,0.8736,0.866604179,-0.800803683,639.047619
Viscosity_std_1275,rLine1000,500,3.5,3,0.8736,0.430300434,-1.487995882,639.047619
Viscosity_std_1275,rLine1000,300,3.5,3,0.8736,0.243192382,-7.206813816,639.047619
