liquid,pipette,volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,liquid_level,density,m,%error
Viscosity_std_204,rLine1000,300,77.39714890490286,26.905335274757817,10,10,44.47396131670168,0.8639,0.2272224092507088,-12.326886116946872
Viscosity_std_204,rLine1000,300,77.39714890490286,26.905335274757817,10,10,43.87394528105803,0.8639,0.25917692659627783,0.0026726072762368732
Viscosity_std_204,rLine1000,300,77.39714890490286,26.905335274757817,10,10,43.35768928457236,0.8639,0.22299677768198337,-13.957333919055696
Viscosity_std_204,rLine1000,300,77.39714890490286,26.905335274757817,10,10,42.7816239649183,0.8639,0.24883141482457066,-3.9891133909902186
Viscosity_std_204,rLine1000,300,77.39714890490286,26.905335274757817,10,10,42.2244493508335,0.8639,0.24067157455392824,-7.137564319200437
Viscosity_std_204,rLine1000,300,77.39714890490286,26.905335274757817,10,10,41.703740545177936,0.8639,0.2249201686029205,-13.21519905740615
Viscosity_std_204,rLine1000,300,77.39714890490286,26.905335274757817,10,10,41.13789644657296,0.8639,0.2444163583924195,-5.692650232503954
Viscosity_std_204,rLine1000,300,77.39714890490286,26.905335274757817,10,10,40.56851034067375,0.8639,0.24594632844316497,-5.102315683464537
Viscosity_std_204,rLine1000,300,77.39714890490286,26.905335274757817,10,10,39.99055595046276,0.8639,0.24964739885163484,-3.674268298169222
Viscosity_std_204,rLine1000,300,77.39714890490286,26.905335274757817,10,10,39.41094862351447,0.8639,0.25036138487531606,-3.3987788419508234
Viscosity_std_204,rLine1000,500,77.39714890490286,26.905335274757817,10,10,38.47039388658208,0.8639,0.40627261861794683,-5.944526306760775
Viscosity_std_204,rLine1000,500,77.39714890490286,26.905335274757817,10,10,37.48092571558642,0.8639,0.42740077646157437,-1.0531829004342237
Viscosity_std_204,rLine1000,500,77.39714890490286,26.905335274757817,10,10,36.51878160086059,0.8639,0.41559815035582387,-3.785588527416629
Viscosity_std_204,rLine1000,500,77.39714890490286,26.905335274757817,10,10,35.54273932418023,0.8639,0.42160146141208216,-2.3957723319638484
Viscosity_std_204,rLine1000,500,77.39714890490286,26.905335274757817,10,10,34.5386308563684,0.8639,0.43372465267132226,0.4108467811835313
Viscosity_std_204,rLine1000,500,77.39714890490286,26.905335274757817,10,10,33.5814792852573,0.8639,0.41344162114143984,-4.284842888889955
Viscosity_std_204,rLine1000,500,77.39714890490286,26.905335274757817,10,10,32.61548956261201,0.8639,0.4172592606966332,-3.401027735470954
Viscosity_std_204,rLine1000,500,77.39714890490286,26.905335274757817,10,10,31.653143047469364,0.8639,0.41568557721586635,-3.7653484857353043
Viscosity_std_204,rLine1000,500,77.39714890490286,26.905335274757817,10,10,30.70641509782416,0.8639,0.408939137849246,-5.327205035479566
Viscosity_std_204,rLine1000,500,77.39714890490286,26.905335274757817,10,10,29.72848375058687,0.8639,0.4224174454391464,-2.206865276271238
Viscosity_std_204,rLine1000,1000,77.39714890490286,26.905335274757817,10,10,27.799101777312064,0.8639,0.8333965433560531,-3.5309013362596295
Viscosity_std_204,rLine1000,1000,77.39714890490286,26.905335274757817,10,10,25.808696078367984,0.8639,0.8597557416588959,-0.4797150527959372
Viscosity_std_204,rLine1000,1000,77.39714890490286,26.905335274757817,10,10,23.849696177432797,0.8639,0.846190007208953,-2.0500049532407703
Viscosity_std_204,rLine1000,1000,77.39714890490286,26.905335274757817,10,10,21.91565899457128,0.8639,0.8354073611370326,-3.2981408569241086
Viscosity_std_204,rLine1000,1000,77.39714890490286,26.905335274757817,10,10,19.974773930940906,0.8639,0.8383653032351406,-2.9557468184812388
Viscosity_std_204,rLine1000,1000,77.39714890490286,26.905335274757817,10,10,18.021036440842874,0.8639,0.8439169088478455,-2.313125495098329
Viscosity_std_204,rLine1000,1000,77.39714890490286,26.905335274757817,10,10,16.07013255658023,0.8639,0.8426929328072491,-2.4548057868677966
Viscosity_std_204,rLine1000,1000,77.39714890490286,26.905335274757817,10,10,14.160147289916718,0.8639,0.825018135935304,-4.500736666824396
Viscosity_std_204,rLine1000,1000,77.39714890490286,26.905335274757817,10,10,12.187519094249424,0.8639,0.8520767491184879,-1.368590216635276
Viscosity_std_204,rLine1000,1000,77.39714890490286,26.905335274757817,10,10,10.2563829840289,0.8639,0.8341542428097555,-3.4431944889737847
